element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name
265,41,1.08,1.55,845,38,5.5,5.1,MID,Ipswich,Conor Chaplin
266,1,0.03,0.94,377,38,4.0,4.0,DEF,Ipswich,Harry Clarke
267,52,1.37,2.34,2742,38,4.5,4.2,DEF,Ipswich,Leif Davis
268,132,3.47,3.51,2587,38,5.5,5.6,FWD,Ipswich,Liam Delap
269,1,0.03,0.16,1,38,4.0,4.0,DEF,Ipswich,George Edmundson
270,37,0.97,1.64,2205,38,4.0,3.8,DEF,Ipswich,Jacob Greaves
271,2,0.05,0.23,43,38,5.0,4.9,MID,Ipswich,Marcus Myers-Harness
272,46,1.21,2.0,645,38,5.5,5.4,FWD,Ipswich,George Hirst
273,0,0.0,0.0,0,38,4.5,4.5,MID,Ipswich,Cameron Humphreys
274,88,2.32,2.36,2585,38,5.5,5.2,MID,Ipswich,Omari Giraud-Hutchinson
275,30,0.79,2.12,1346,38,4.0,3.8,DEF,Ipswich,Ben Johnson
276,0,0.0,0.0,0,38,4.5,4.5,FWD,Ipswich,Freddie Ladapo
277,13,0.34,0.58,195,38,4.5,4.3,MID,Ipswich,Massimo Luongo
278,67,1.76,1.81,2749,38,5.0,4.8,MID,Ipswich,Sam Morsy
279,0,0.0,0.0,0,38,4.0,4.0,DEF,Ipswich,Corrie Ndaba
280,0,0.0,0.0,0,38,4.0,3.9,GK,Ipswich,Cieran Slicker
281,38,1.0,0.99,837,38,5.0,4.8,MID,Ipswich,Jack Taylor
282,27,0.71,1.37,1710,38,4.0,3.9,DEF,Ipswich,Axel Tuanzebe
283,16,0.42,1.54,630,38,4.5,4.3,GK,Ipswich,Christian Walton
284,18,0.47,1.11,1187,38,4.0,3.9,DEF,Ipswich,Luke Woolfenden
285,48,1.26,0.86,2165,38,4.5,4.4,MID,Leicester,Boubakary Soumaré
286,0,0.0,0.0,0,38,4.5,4.5,FWD,Leicester,Tom Cannon
287,4,0.11,0.31,129,38,4.5,4.4,MID,Leicester,Hamza Choudhury
288,39,1.03,1.98,1712,38,4.0,4.0,DEF,Leicester,Conor Coady
289,34,0.89,1.23,717,38,5.0,4.8,FWD,Leicester,Patson Daka
290,48,1.26,2.13,734,38,5.5,5.2,MID,Leicester,Bobby De Cordova-Reid
291,55,1.45,1.95,2812,38,4.0,3.8,DEF,Leicester,Wout Faes
292,1,0.03,0.16,1,38,4.5,4.4,MID,Leicester,Michael Golding
293,63,1.66,2.0,2385,38,4.5,4.4,GK,Leicester,Mads Hermansen
294,0,0.0,0.0,0,38,4.0,3.9,GK,Leicester,Daniel Iversen
295,70,1.84,3.07,2912,38,4.5,4.1,DEF,Leicester,James Justin
296,34,0.89,1.33,2481,38,4.5,4.4,DEF,Leicester,Victor Kristiansen
297,0,0.0,0.0,0,38,4.5,4.5,MID,Leicester,Wanya Marçal-Madivádua
298,72,1.89,2.45,1606,38,5.5,5.0,MID,Leicester,Stephy Mavididi
299,35,0.92,1.58,846,38,5.0,4.7,MID,Leicester,Kasey McAteer
300,64,1.68,1.68,2325,38,5.0,4.9,MID,Leicester,Wilfred Ndidi
301,27,0.71,1.49,1122,38,4.0,4.0,DEF,Leicester,Caleb Okoli
302,10,0.26,0.55,382,38,4.5,4.1,DEF,Leicester,Ricardo Barbosa Pereira
303,0,0.0,0.0,0,38,4.0,4.0,DEF,Leicester,Harry Souttar
304,25,0.66,1.46,900,38,4.0,4.0,GK,Leicester,Jakub Stolarczyk
305,27,0.71,1.58,1109,38,4.0,3.9,DEF,Leicester,Luke Thomas
306,128,3.37,3.08,2825,38,5.5,5.4,FWD,Leicester,Jamie Vardy
307,11,0.29,0.77,1390,38,4.0,3.9,DEF,Leicester,Jannik Vestergaard
308,2,0.05,0.23,135,38,4.0,3.9,GK,Leicester,Danny Ward
309,40,1.05,1.06,1536,38,4.5,4.3,MID,Leicester,Harry Winks
310,112,2.95,3.04,2508,38,5.5,5.5,GK,Liverpool,Alisson Ramses Becker
311,148,3.89,3.73,2362,38,7.0,7.2,DEF,Liverpool,Trent Alexander-Arnold
312,0,0.0,0.0,0,38,4.5,4.5,MID,Liverpool,Stefan Bajčetić Maquieira
313,41,1.08,1.96,744,38,5.0,4.7,DEF,Liverpool,Conor Bradley
314,35,0.92,1.62,443,38,5.0,4.5,MID,Brentford,Fábio Freitas Gouveia Carvalho
315,0,0.0,0.0,0,38,4.5,4.5,MID,Liverpool,Bobby Clark
316,66,1.74,2.59,1113,38,7.5,7.0,FWD,Liverpool,Darwin Núñez Ribeiro
317,87,2.29,2.83,1182,38,7.5,7.2,MID,Liverpool,Diogo Teixeira da Silva
318,0,0.0,0.0,0,38,4.5,4.5,MID,Liverpool,Ben Doak
319,33,0.87,2.17,359,38,5.5,5.2,MID,Liverpool,Harvey Elliott
320,21,0.55,0.55,259,38,5.0,4.6,MID,Liverpool,Endo Wataru
321,127,3.34,3.83,1921,38,7.5,7.2,FWD,Liverpool,Cody Gakpo
322,14,0.37,1.02,517,38,5.0,4.7,DEF,Liverpool,Joe Gomez
323,92,2.42,1.18,3160,38,5.0,5.0,MID,Liverpool,Ryan Gravenberch
324,87,2.29,2.56,1702,38,5.5,5.3,MID,Liverpool,Curtis Jones
325,45,1.18,2.44,900,38,4.5,3.9,GK,Liverpool,Caoimhin Kelleher
326,106,2.79,2.82,2561,38,5.0,5.3,DEF,Liverpool,Ibrahima Konaté
327,183,4.82,4.52,2393,38,7.5,7.5,MID,Liverpool,Luis Díaz
328,344,9.05,5.34,3374,38,12.5,13.6,MID,Liverpool,Mohamed Salah
329,122,3.21,2.88,2597,38,6.5,6.2,MID,Liverpool,Alexis Mac Allister
330,0,0.0,0.0,0,38,4.5,4.3,MID,Liverpool,James McConnell
331,0,0.0,0.0,0,38,4.5,4.4,MID,Liverpool,Tyler Morton
332,0,0.0,0.0,0,38,4.0,4.0,DEF,Liverpool,Nathaniel Phillips
333,9,0.24,0.59,488,38,4.5,3.9,DEF,Liverpool,Jarell Quansah
334,0,0.0,0.0,0,38,4.0,4.0,DEF,Liverpool,Rhys Williams
335,91,2.39,2.67,2479,38,6.0,5.8,DEF,Liverpool,Andrew Robertson
336,143,3.76,4.17,2485,38,6.5,6.1,MID,Liverpool,Dominik Szoboszlai
337,43,1.13,2.0,829,38,5.0,4.6,DEF,Liverpool,Konstantinos Tsimikas
338,62,1.63,2.15,2584,38,4.0,4.1,DEF,Liverpool,Sepp van den Berg
339,143,3.76,2.72,3330,38,6.0,6.7,DEF,Liverpool,Virgil van Dijk
340,61,1.61,2.16,2012,38,5.5,5.3,DEF,Man City,Manuel Akanji
341,25,0.66,1.65,677,38,5.5,5.3,DEF,Man City,Nathan Aké
342,110,2.89,2.77,2667,38,6.5,6.1,MID,Man City,Bernardo Veiga de Carvalho e Silva
343,3,0.08,0.27,14,38,5.0,4.7,MID,Man City,Oscar Bobb
344,0,0.0,0.0,0,38,4.0,3.9,GK,Man City,Scott Carson
345,114,3.0,4.01,1694,38,9.5,9.5,MID,Man City,Kevin De Bruyne
346,88,2.32,2.96,1506,38,6.5,6.2,MID,Man City,Jérémy Doku
347,111,2.92,3.38,2320,38,5.5,5.3,GK,Man City,Ederson Santana de Moraes
348,105,2.76,4.09,1771,38,9.5,9.1,MID,Man City,Phil Foden
349,38,1.0,1.85,710,38,6.5,6.4,MID,Man City,Jack Grealish
350,153,4.03,3.29,3278,38,6.0,6.5,DEF,Man City,Joško Gvardiol
351,181,4.76,4.71,2736,38,15.0,14.9,FWD,Man City,Erling Haaland
352,0,0.0,0.0,0,38,7.0,7.0,FWD,Man City,Julián Álvarez
353,0,0.0,0.0,0,38,5.5,5.3,DEF,Man City,João Cavaco Cancelo
354,109,2.87,3.62,2194,38,5.5,5.4,MID,Man City,Mateo Kovačić
355,66,1.74,2.11,1888,38,4.5,4.3,DEF,Man City,Rico Lewis
356,81,2.13,2.4,1670,38,5.0,4.9,MID,Man City,Matheus Luiz Nunes
357,31,0.82,1.63,340,38,5.0,4.6,MID,Man City,James McAtee
358,35,0.92,1.81,1099,38,5.5,5.2,GK,Man City,Stefan Ortega Moreno
359,27,0.71,0.9,1231,38,5.0,4.8,MID,Ipswich,Kalvin Phillips
360,3,0.08,0.27,72,38,6.5,6.2,MID,Man City,Rodrigo 'Rodri' Hernandez
361,90,2.37,2.82,2269,38,5.5,5.5,DEF,Man City,Rúben Gato Alves Dias
362,29,0.76,2.1,544,38,5.5,5.3,DEF,Man City,John Stones
363,13,0.34,0.58,966,38,5.5,5.1,DEF,Man City,Kyle Walker
364,129,3.39,4.62,1898,38,5.0,5.3,MID,Man Utd,Amad Diallo
365,8,0.21,0.41,135,38,6.0,5.7,MID,Man Utd,Antony Matheus dos Santos
366,174,4.58,4.49,3017,38,8.5,8.4,MID,Man Utd,Bruno Borges Fernandes
367,8,0.21,0.99,360,38,4.5,4.3,GK,Man Utd,Altay Bayindir
368,48,1.26,1.78,1489,38,5.0,4.6,MID,Man Utd,Carlos Henrique Casimiro
369,95,2.5,3.04,2812,38,5.0,5.0,DEF,Man Utd,Diogo Dalot Teixeira
370,45,1.18,1.41,1052,38,5.5,5.2,MID,Man Utd,Christian Eriksen
371,15,0.39,1.48,312,38,4.5,4.4,DEF,Man Utd,Jonny Evans
372,106,2.79,2.68,2188,38,6.5,5.9,MID,Man Utd,Alejandro Garnacho
373,0,0.0,0.0,0,38,4.5,4.5,MID,Man Utd,Hannibal Mejbri
374,0,0.0,0.0,0,38,4.0,3.9,GK,Man Utd,Tom Heaton
375,78,2.05,2.28,1998,38,7.0,6.9,FWD,Man Utd,Rasmus Højlund
376,27,0.71,1.41,695,38,4.5,4.3,DEF,Man Utd,Victor Lindelöf
377,48,1.26,2.08,1751,38,5.0,4.9,DEF,Man Utd,Harry Maguire
378,42,1.11,0.95,1646,38,5.5,5.2,MID,Man Utd,Kobbie Mainoo
379,2,0.05,0.23,99,38,4.5,4.4,DEF,Man Utd,Tyrell Malacia
380,68,1.79,3.18,1751,38,4.5,4.3,DEF,Man Utd,Lisandro Martínez
381,2,0.05,0.23,17,38,5.0,4.9,MID,Man Utd,Scott McTominay
382,25,0.66,1.19,613,38,6.5,6.3,MID,Man Utd,Mason Mount
383,120,3.16,3.18,3060,38,5.0,4.9,GK,Man Utd,André Onana
384,0,0.0,0.0,0,38,5.0,5.0,MID,Man Utd,Facundo Pellistri Rebollo
385,95,2.5,3.41,1414,38,7.0,6.6,MID,Man Utd,Marcus Rashford
386,86,2.26,2.23,1754,38,6.5,6.2,MID,Man Utd,Jadon Sancho
387,5,0.13,0.58,346,38,5.0,4.9,DEF,Man Utd,Luke Shaw
388,118,3.11,3.72,3154,38,4.5,4.5,DEF,West Ham,Aaron Wan-Bissaka
389,64,1.68,2.39,1385,38,7.0,6.5,FWD,Man Utd,Joshua Zirkzee
390,0,0.0,0.0,0,38,4.0,4.0,DEF,Newcastle,Alex Murphy
391,10,0.26,0.5,150,38,6.0,5.4,MID,Newcastle,Miguel Almirón Rejala
392,130,3.42,3.7,1746,38,6.5,5.9,MID,Newcastle,Harvey Barnes
393,18,0.47,1.39,412,38,4.5,4.4,DEF,Newcastle,Sven Botman
394,135,3.55,2.62,3273,38,6.5,6.2,MID,Newcastle,Bruno Guimarães Rodriguez Moura
395,115,3.03,3.29,3330,38,4.5,4.6,DEF,Newcastle,Dan Burn
396,44,1.16,2.42,900,38,4.5,4.0,GK,Newcastle,Martin Dúbravka
397,7,0.18,0.65,303,38,5.0,4.8,MID,Newcastle,Ryan Fraser
398,124,3.26,3.01,2428,38,7.5,7.4,MID,Newcastle,Anthony Gordon
399,102,2.68,3.59,2188,38,4.5,4.7,DEF,Newcastle,Lewis Hall
400,0,0.0,0.0,0,38,4.5,4.4,MID,Newcastle,Isaac Hayden
401,211,5.55,4.69,2758,38,8.5,9.4,FWD,Newcastle,Alexander Isak
402,159,4.18,4.03,2356,38,5.5,5.2,MID,Newcastle,Jacob Murphy
403,99,2.61,3.33,2394,38,6.0,6.0,MID,Newcastle,Joelinton Cássio Apolinário de Lira
404,12,0.32,0.77,299,38,4.5,4.2,DEF,Newcastle,Lloyd Kelly
405,17,0.45,1.08,334,38,4.5,4.3,DEF,Newcastle,Emil Krafth
406,0,0.0,0.0,0,38,4.5,4.4,MID,Newcastle,Garang Kuol
407,0,0.0,0.0,0,38,4.5,4.5,DEF,Newcastle,Jamaal Lascelles
408,0,0.0,0.0,0,38,4.0,4.0,DEF,Newcastle,Jamal Lewis
409,105,2.76,2.7,2835,38,4.5,4.6,DEF,Newcastle,Tino Livramento
410,34,0.89,1.03,783,38,5.0,4.4,MID,Newcastle,Sean Longstaff
411,21,0.55,1.33,304,38,5.0,5.0,MID,Newcastle,Lewis Miley
412,0,0.0,0.0,0,38,4.5,4.2,GK,Newcastle,Odysseas Vlachodimos
413,102,2.68,2.79,2520,38,5.0,5.0,GK,Newcastle,Nick Pope
414,0,0.0,0.0,0,38,4.0,3.9,GK,Newcastle,John Ruddy
415,118,3.11,3.37,2935,38,5.5,5.5,DEF,Newcastle,Fabian Schär
416,2,0.05,0.23,20,38,4.0,3.9,DEF,Newcastle,Matt Targett
417,106,2.79,2.7,2625,38,5.5,5.5,MID,Newcastle,Sandro Tonali
418,72,1.89,3.31,1299,38,6.0,5.6,DEF,Newcastle,Kieran Trippier
419,0,0.0,0.0,0,38,4.5,4.5,MID,Newcastle,Joe White
420,46,1.21,1.07,1065,38,5.0,4.7,MID,Newcastle,Joe Willock
421,19,0.5,0.6,355,38,7.0,6.9,FWD,Newcastle,Callum Wilson
422,128,3.37,3.9,2996,38,4.5,5.3,DEF,Nott'm Forest,Ola Aina
423,107,2.82,2.12,2726,38,5.0,5.0,MID,Nott'm Forest,Elliot Anderson
424,32,0.84,0.89,398,38,6.0,5.5,FWD,Nott'm Forest,Taiwo Awoniyi
425,6,0.16,0.44,146,38,4.5,4.2,DEF,Nott'm Forest,Willy Boly
426,0,0.0,0.0,0,38,4.5,4.5,MID,Nott'm Forest,Josh Bowler
427,0,0.0,0.0,0,38,4.5,4.1,GK,Nott'm Forest,Carlos Miguel dos Santos Pereira
428,2,0.05,0.23,28,38,4.5,4.3,MID,Nott'm Forest,Eric da Silva Moreira
429,11,0.29,0.65,270,38,5.0,4.7,MID,Nott'm Forest,Danilo dos Santos de Oliveira
430,0,0.0,0.0,0,38,5.0,4.9,FWD,Nott'm Forest,Emmanuel Dennis
431,54,1.42,1.03,1954,38,5.0,4.8,MID,Nott'm Forest,Nicolás Domínguez
432,153,4.03,3.7,2496,38,5.5,5.5,MID,Nott'm Forest,Anthony Elanga
433,154,4.05,4.21,2806,38,6.5,6.5,MID,Nott'm Forest,Morgan Gibbs-White
434,103,2.71,2.64,2190,38,5.5,5.1,MID,Nott'm Forest,Callum Hudson-Odoi
435,0,0.0,0.0,0,38,4.5,4.5,MID,Nott'm Forest,Alex Mighten
436,130,3.42,3.14,3188,38,4.5,4.7,DEF,Nott'm Forest,Murillo Santiago Costa dos Santos
437,109,2.87,3.15,2588,38,4.5,4.5,DEF,Nott'm Forest,Neco Williams
438,0,0.0,0.0,0,38,4.5,4.5,DEF,Nott'm Forest,Omar Richards
439,0,0.0,0.0,0,38,5.0,5.0,MID,Nott'm Forest,Lewis O'Brien
440,0,0.0,0.0,0,38,4.5,4.2,DEF,Nott'm Forest,Andrew Omobamidele
441,0,0.0,0.0,0,38,4.0,4.0,DEF,Nott'm Forest,Jonathan Panzo
442,20,0.53,0.95,584,38,4.5,4.3,MID,Nott'm Forest,Ibrahim Sangaré
443,150,3.95,2.89,3420,38,4.5,5.2,GK,Nott'm Forest,Matz Sels
444,4,0.11,0.31,135,38,4.5,4.2,DEF,Nott'm Forest,Harry Toffolo
445,0,0.0,0.0,0,38,4.0,3.9,GK,Nott'm Forest,Matt Turner
446,0,0.0,0.0,0,38,4.5,4.5,FWD,Nott'm Forest,Hwang Ui-jo
447,200,5.26,4.26,2958,38,6.0,7.2,FWD,Nott'm Forest,Chris Wood
448,0,0.0,0.0,0,38,4.5,4.5,DEF,Nott'm Forest,Joe Worrall
449,67,1.76,1.87,1901,38,5.0,4.8,MID,Nott'm Forest,Ryan Yates
450,44,1.13,2.7,766,39,5.0,4.7,MID,Southampton,Carlos Alcaraz Durán
451,1,0.03,0.16,26,38,4.5,4.4,MID,Southampton,Samuel Amo-Ameyaw
452,72,1.89,2.26,2007,38,5.0,4.9,MID,Southampton,Joe Aribo
453,45,1.18,1.86,1246,38,5.5,5.1,FWD,Southampton,Adam Armstrong
454,0,0.0,0.0,0,38,4.5,4.3,GK,Southampton,Gavin Bazunu
455,60,1.58,2.2,2531,38,4.0,4.0,DEF,Southampton,Jan Bednarek
456,2,0.05,0.23,329,38,4.0,3.9,DEF,Southampton,Armel Bella-Kotchap
457,23,0.61,1.2,1070,38,4.0,3.9,DEF,Southampton,James Bree
458,0,0.0,0.0,0,38,4.5,4.5,MID,Southampton,Shea Charles
459,1,0.03,0.16,64,38,5.0,4.9,MID,Southampton,Samuel Edozie
460,1,0.03,0.16,12,38,4.0,3.9,DEF,Southampton,Ronnie Edwards
461,55,1.45,2.01,2824,38,4.0,3.9,DEF,Southampton,Taylor Harwood-Bellis
462,53,1.39,1.76,1394,38,5.0,5.0,MID,Southampton,Kamaldeen Sulemana
463,17,0.45,0.95,352,38,5.0,5.0,MID,Southampton,Adam Lallana
464,0,0.0,0.0,0,38,4.0,3.9,DEF,Southampton,Juan Larios López
465,0,0.0,0.0,0,38,4.0,4.0,GK,Southampton,Mateusz Lis
466,8,0.21,0.74,270,38,4.0,4.0,GK,Southampton,Joe Lumley
467,34,0.89,1.27,1458,38,4.5,4.3,DEF,Southampton,Ryan Manning
468,0,0.0,0.0,0,38,5.0,5.0,FWD,Southampton,Sékou Mara
469,12,0.32,0.9,450,38,4.5,4.2,GK,Southampton,Alex McCarthy
470,51,1.34,2.04,1038,38,5.0,4.9,FWD,Southampton,Paul Onuachu
471,26,0.68,1.23,679,38,5.0,5.0,MID,Southampton,Will Smallbone
472,31,0.82,2.04,1389,38,4.0,4.0,DEF,Southampton,Jack Stephens
473,20,0.53,1.5,382,38,4.5,4.4,FWD,Southampton,Ross Stewart
474,43,1.13,1.63,1548,38,4.5,4.2,DEF,Southampton,Sugawara Yukinari
475,6,0.16,0.44,353,38,4.0,3.9,DEF,Southampton,Charlie Taylor
476,54,1.42,1.9,2918,38,4.5,4.2,DEF,Southampton,Kyle Walker-Peters
477,14,0.37,1.32,771,38,4.0,3.9,DEF,Southampton,Nathan Wood-Gordon
478,0,0.0,0.0,0,38,4.0,4.0,DEF,Spurs,Ashley Phillips
479,1,0.03,0.16,90,38,4.0,4.0,GK,Spurs,Brandon Austin
480,49,1.29,1.58,1640,38,5.0,4.9,MID,Spurs,Rodrigo Bentancur
481,44,1.16,1.24,1200,38,4.5,4.4,MID,Spurs,Lucas Bergvall
482,50,1.32,2.11,1396,38,5.0,4.8,MID,Spurs,Yves Bissouma
483,0,0.0,0.0,0,38,5.0,5.0,MID,Spurs,Bryan Gil Salvatierra
484,28,0.74,1.61,1329,38,4.5,4.3,DEF,Spurs,Ben Davies
485,0,0.0,0.0,0,38,4.5,4.5,MID,Spurs,Alfie Devine
486,24,0.63,1.44,1250,38,4.5,4.3,DEF,Spurs,Radu Drăgușin
487,0,0.0,0.0,0,38,4.5,4.5,DEF,Spurs,Emerson Leite de Souza Junior
488,19,0.5,1.39,630,38,4.5,4.3,GK,Spurs,Fraser Forster
489,45,1.18,0.93,1750,38,5.0,4.6,MID,Spurs,Archie Gray
490,0,0.0,0.0,0,38,5.0,5.0,MID,Spurs,Pierre-Emile Højbjerg
491,137,3.61,4.21,2171,38,6.5,6.2,MID,Spurs,Brennan Johnson
492,117,3.08,3.1,2386,38,6.5,6.2,MID,Spurs,Dejan Kulusevski
493,0,0.0,0.0,0,38,5.0,4.9,MID,Spurs,Giovani Lo Celso
494,133,3.5,4.19,1799,38,7.5,7.4,MID,Spurs,James Maddison
495,98,2.58,3.06,2606,38,5.5,5.2,DEF,Spurs,Pedro Porro
496,2,0.05,0.23,194,38,4.5,4.1,DEF,Spurs,Sergio Reguilón
497,35,0.92,1.71,497,38,7.0,6.8,FWD,Spurs,Richarlison de Andrade
498,49,1.29,2.66,1416,38,5.0,4.9,DEF,Spurs,Cristian Romero
499,71,1.87,2.18,1901,38,5.0,4.7,MID,Spurs,Pape Matar Sarr
500,6,0.16,0.68,31,38,4.5,4.4,FWD,Spurs,Dane Scarlett
501,27,0.71,0.8,1118,38,5.0,4.7,MID,Spurs,Oliver Skipp
502,0,0.0,0.0,0,38,5.5,5.4,MID,Spurs,Manor Solomon
503,129,3.39,4.05,2106,38,10.0,9.7,MID,Spurs,Son Heung-min
504,51,1.34,2.78,1790,38,4.5,4.4,DEF,Spurs,Djed Spence
505,43,1.13,1.65,1923,38,5.0,4.8,DEF,Spurs,Destiny Udogie
506,32,0.84,2.27,1014,38,4.5,4.5,DEF,Spurs,Micky van de Ven
507,0,0.0,0.0,0,38,5.0,5.0,FWD,Spurs,Alejo Véliz
508,66,1.74,2.27,2160,38,5.0,4.8,GK,Spurs,Guglielmo Vicario
509,34,0.89,1.52,504,38,6.5,6.2,MID,Spurs,Timo Werner
510,0,0.0,0.0,0,38,4.0,3.9,GK,Spurs,Alfie Whiteman
511,40,1.05,1.14,1769,38,5.0,5.0,MID,West Ham,Edson Álvarez Velázquez
512,42,1.11,3.02,834,38,5.5,5.2,FWD,West Ham,Michail Antonio
513,69,1.82,2.02,2259,38,4.5,4.2,GK,West Ham,Alphonse Areola
514,193,5.08,3.84,2974,38,7.5,7.9,MID,West Ham,Jarrod Bowen
515,1,0.03,0.16,71,38,5.0,4.7,MID,West Ham,Maxwel Cornet
516,27,0.71,1.51,1056,38,4.5,4.1,DEF,West Ham,Vladimír Coufal
517,36,0.95,1.86,818,38,4.0,3.9,DEF,West Ham,Aaron Cresswell
518,48,1.26,1.22,2149,38,5.0,4.7,MID,Southampton,Flynn Downes
519,0,0.0,0.0,0,38,4.5,4.5,MID,West Ham,George Earthy
520,76,2.0,2.67,2108,38,4.5,4.4,DEF,West Ham,Emerson Palmieri dos Santos
521,39,1.03,1.97,1160,38,4.0,3.9,GK,West Ham,Łukasz Fabiański
522,0,0.0,0.0,0,38,4.5,4.2,GK,West Ham,Wes Foderingham
523,32,0.84,1.87,270,38,5.0,4.8,FWD,West Ham,Danny Ings
524,82,2.16,2.53,3348,38,4.5,4.3,DEF,West Ham,Max Kilman
525,106,2.79,2.3,2589,38,6.5,6.2,MID,West Ham,Mohammed Kudus
526,12,0.32,0.47,139,38,5.0,4.6,MID,West Ham,Luis Guilherme Lira dos Santos
527,80,2.11,2.28,2374,38,6.0,5.7,MID,West Ham,Lucas Tolentino Coelho de Lima
528,45,1.18,1.81,2035,38,4.5,4.3,DEF,West Ham,Konstantinos Mavropanos
