element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name,next_week_points
1,0,0.0,0.0,0,7,5.5,5.4,MID,Arsenal,Fábio Ferreira Vieira,0
2,3,0.43,0.53,78,7,7.0,6.8,FWD,Arsenal,Gabriel Fernando de Jesus,1
3,39,5.57,4.79,630,7,6.0,6.2,DEF,Arsenal,Gabriel dos Santos Magalhães,1
4,40,5.71,3.9,630,7,8.0,8.2,FWD,Arsenal,Kai Havertz,2
5,0,0.0,0.0,0,7,4.0,4.0,GK,Arsenal,Karl Hein,0
6,19,2.71,2.29,448,7,5.5,5.5,DEF,Arsenal,Jurriën Timber,0
7,4,0.57,0.98,150,7,5.0,4.9,MID,Arsenal,Jorge Luiz Frello Filho,0
8,2,0.29,0.49,17,7,5.0,4.8,DEF,Arsenal,Jakub Kiwior,0
9,34,4.86,3.93,438,7,7.0,7.0,MID,Arsenal,Gabriel Martinelli Silva,1
10,13,1.86,2.67,76,7,5.0,5.0,MID,Arsenal,Reiss Nelson,1
11,7,1.0,1.0,317,7,6.0,5.9,FWD,Arsenal,Eddie Nketiah,2
12,2,0.29,0.49,9,7,4.5,4.5,MID,Arsenal,Ethan Nwaneri,1
13,7,1.0,1.29,253,7,8.5,8.2,MID,Arsenal,Martin Ødegaard,0
14,12,1.71,1.25,450,7,4.5,4.4,GK,Arsenal,Aaron Ramsdale,1
15,36,5.14,3.76,630,7,5.5,5.6,GK,Arsenal,David Raya Martin,1
16,8,1.14,1.68,492,7,6.5,6.3,MID,Arsenal,Declan Rice,2
17,54,7.71,4.64,566,7,10.0,10.1,MID,Arsenal,Bukayo Saka,0
18,22,3.14,2.48,630,7,6.0,6.0,DEF,Arsenal,William Saliba,-3
19,34,4.86,3.44,469,7,5.5,5.8,MID,Fulham,Emile Smith Rowe,1
20,23,3.29,3.5,617,7,5.0,5.0,MID,Arsenal,Thomas Partey,2
21,0,0.0,0.0,0,7,4.5,4.4,DEF,Arsenal,Kieran Tierney,0
22,1,0.14,0.38,6,7,5.0,4.8,DEF,Arsenal,Tomiyasu Takehiro,0
23,23,3.29,4.72,344,7,7.0,6.9,MID,Arsenal,Leandro Trossard,3
24,21,3.0,2.89,405,7,6.5,6.4,DEF,Arsenal,Benjamin White,0
25,7,1.0,2.24,78,7,5.0,4.8,DEF,Arsenal,Oleksandr Zinchenko,0
26,10,1.43,2.23,288,7,4.5,4.4,DEF,Aston Villa,Álex Moreno Lopera,6
27,12,1.71,2.36,278,7,5.0,5.0,FWD,Southampton,Cameron Archer,9
28,13,1.86,1.68,348,7,6.5,6.4,MID,Aston Villa,Leon Bailey,1
29,9,1.29,1.38,211,7,5.5,5.2,MID,Aston Villa,Ross Barkley,1
30,0,0.0,0.0,0,7,5.0,4.9,MID,Aston Villa,Enzo Barrenechea,0
31,3,0.43,0.53,13,7,5.5,5.3,MID,Aston Villa,Emiliano Buendía Stati,1
32,9,1.29,2.21,186,7,4.5,4.4,DEF,Aston Villa,Matty Cash,2
33,0,0.0,0.0,0,7,4.5,4.5,MID,Aston Villa,Leander Dendoncker,0
34,0,0.0,0.0,0,7,6.5,6.5,MID,Aston Villa,Moussa Diaby,0
35,9,1.29,2.21,258,7,4.5,4.5,DEF,Aston Villa,Diego Carlos Santos Silva,2
36,24,3.43,3.05,518,7,4.5,4.6,DEF,Aston Villa,Lucas Digne,4
37,0,0.0,0.0,0,7,5.0,5.0,MID,Aston Villa,Lewis Dobbin,0
38,27,3.86,2.73,184,7,6.0,6.2,FWD,Aston Villa,Jhon Durán,1
39,0,0.0,0.0,0,7,4.0,4.0,GK,Aston Villa,Joe Gauci,0
40,0,0.0,0.0,0,7,4.0,4.0,DEF,Aston Villa,Kortney Hause,0
41,0,0.0,0.0,0,7,5.5,5.4,MID,Aston Villa,Samuel Iling-Junior,0
42,0,0.0,0.0,0,7,5.0,5.0,MID,Aston Villa,Boubacar Kamara,0
43,0,0.0,0.0,0,7,4.0,4.0,DEF,Aston Villa,Kaine Kesler-Hayden,0
44,17,2.43,2.94,551,7,4.5,4.5,DEF,Aston Villa,Ezri Konsa Ngoyo,0
45,7,1.0,0.0,118,7,5.0,4.8,DEF,Aston Villa,Ian Maatsen,0
46,0,0.0,0.0,0,7,4.0,4.0,GK,Aston Villa,Filip Marschall,0
47,20,2.86,2.91,630,7,5.0,5.0,GK,Aston Villa,Emiliano Martínez Romero,8
48,9,1.29,1.11,349,7,5.5,5.3,MID,Aston Villa,John McGinn,1
49,0,0.0,0.0,0,7,4.5,4.4,DEF,Aston Villa,Tyrone Mings,0
50,3,0.43,0.53,93,7,4.0,4.0,DEF,Aston Villa,Kosta Nedeljković,0
51,0,0.0,0.0,0,7,4.5,4.5,GK,Aston Villa,Robin Olsen,0
52,14,2.0,1.83,630,7,4.5,4.5,DEF,Aston Villa,Pau Torres,2
53,13,1.86,1.21,335,7,5.5,5.5,MID,Aston Villa,Jacob Ramsey,5
54,28,4.0,3.21,603,7,5.0,5.3,MID,Aston Villa,Morgan Rogers,6
55,0,0.0,0.0,0,7,4.0,4.0,GK,Aston Villa,Viljami Sinisalo,0
56,0,0.0,0.0,0,7,4.0,4.0,DEF,Aston Villa,Lino da Cruz Sousa,0
57,22,3.14,2.12,623,7,5.5,5.5,MID,Aston Villa,Youri Tielemans,8
58,41,5.86,4.53,531,7,9.0,9.1,FWD,Aston Villa,Ollie Watkins,8
59,0,0.0,0.0,0,7,4.5,4.4,DEF,Bournemouth,Max Aarons,0
60,0,0.0,0.0,0,7,5.0,4.9,MID,Bournemouth,Tyler Adams,0
61,0,0.0,0.0,0,7,4.5,4.5,MID,Bournemouth,Jaidon Anthony,0
62,1,0.14,0.38,9,7,5.0,4.9,MID,Bournemouth,David Brooks,0
63,12,1.71,0.49,453,7,5.0,4.9,MID,Bournemouth,Ryan Christie,6
64,24,3.43,3.6,623,7,5.0,5.0,MID,Bournemouth,Lewis Cook,3
65,4,0.57,0.53,51,7,5.5,5.4,FWD,Bournemouth,Enes Ünal,1
66,0,0.0,0.0,0,7,5.0,5.0,MID,Bournemouth,Romain Faivre,0
67,0,0.0,0.0,0,7,4.5,4.5,MID,Bournemouth,Hamed Traorè,0
68,0,0.0,0.0,0,7,4.0,4.0,DEF,Bournemouth,James Hill,0
69,2,0.29,0.49,26,7,4.5,4.5,FWD,Bournemouth,Daniel Jebbison,0
70,10,1.43,0.53,577,7,4.5,4.5,DEF,Bournemouth,Milos Kerkez,7
71,12,1.71,1.8,380,7,5.5,5.3,MID,Bournemouth,Justin Kluivert,11
72,0,0.0,0.0,0,7,4.5,4.4,DEF,Bournemouth,Chris Mepham,0
73,7,1.0,1.73,180,7,4.5,4.3,GK,Bournemouth,Norberto Murara Neto,0
74,17,2.43,2.76,260,7,5.0,5.0,MID,Bournemouth,Dango Ouattara,3
75,0,0.0,0.0,0,7,4.0,4.0,GK,Bournemouth,Alex Paulsen,0
76,2,0.29,0.49,21,7,5.0,4.8,MID,Bournemouth,Philip Billing,0
77,8,1.14,0.38,196,7,5.0,4.9,MID,Bournemouth,Alex Scott,3
78,31,4.43,2.76,607,7,5.5,5.7,MID,Bournemouth,Antoine Semenyo,2
79,6,0.86,0.69,436,7,5.0,4.8,DEF,Bournemouth,Marcos Senesi,9
80,18,2.57,3.74,176,7,5.0,5.0,MID,Bournemouth,Luis Sinisterra,1
81,14,2.0,1.41,326,7,4.5,4.5,DEF,Bournemouth,Adam Smith,1
82,21,3.0,2.65,447,7,7.5,7.6,FWD,Spurs,Dominic Solanke-Mitchell,2
83,24,3.43,2.57,601,7,5.5,5.5,MID,Bournemouth,Marcus Tavernier,3
84,2,0.29,0.76,90,7,4.5,4.4,GK,Bournemouth,Mark Travers,0
85,12,1.71,0.49,630,7,4.5,4.5,DEF,Bournemouth,Illia Zabarnyi,6
86,7,1.0,0.82,547,7,4.5,4.5,DEF,Brentford,Kristoffer Ajer,0
87,0,0.0,0.0,0,7,4.5,4.5,MID,Brentford,Ethan Brierley,0
88,25,3.57,3.6,630,7,4.5,4.5,DEF,Brentford,Nathan Collins,1
89,22,3.14,3.13,462,7,5.0,5.0,MID,Brentford,Mikkel Damsgaard,5
90,0,0.0,0.0,0,7,5.0,4.9,MID,Brentford,Josh Dasilva,0
91,19,2.71,0.76,630,7,4.5,4.5,GK,Brentford,Mark Flekken,4
92,0,0.0,0.0,0,7,4.5,4.3,DEF,Brentford,Rico Henry,0
93,0,0.0,0.0,0,7,4.5,4.4,DEF,Brentford,Aaron Hickey,0
94,17,2.43,0.79,560,7,5.0,4.9,MID,Brentford,Vitaly Janelt,2
95,9,1.29,2.21,238,7,5.5,5.3,MID,Brentford,Mathias Jensen,0
96,0,0.0,0.0,0,7,4.0,4.0,DEF,Brentford,Kim Ji-soo,0
97,3,0.43,0.53,17,7,4.5,4.5,MID,Brentford,Yunus Emre Konak,0
98,17,2.43,1.81,456,7,5.0,5.0,MID,Brentford,Keane Lewis-Potter,2
99,51,7.29,4.46,629,7,7.0,7.4,MID,Brentford,Bryan Mbeumo,2
100,1,0.14,0.38,1,7,4.5,4.3,DEF,Brentford,Ben Mee,0
101,14,2.0,2.38,436,7,5.0,4.8,MID,Brentford,Christian Nørgaard,1
102,2,0.29,0.49,23,7,5.0,4.9,MID,Brentford,Frank Onyeka,0
103,0,0.0,0.0,0,7,4.5,4.5,MID,Brentford,Myles Peart-Harris,0
104,13,1.86,2.34,630,7,4.5,4.5,DEF,Brentford,Ethan Pinnock,7
105,7,1.0,0.58,261,7,4.5,4.4,DEF,Brentford,Mads Roerslev Rasmussen,1
106,14,2.0,1.83,371,7,5.5,5.4,MID,Brentford,Kevin Schade,2
107,0,0.0,0.0,0,7,6.0,5.9,FWD,Brentford,Igor Thiago Nascimento Rodrigues,0
108,0,0.0,0.0,0,7,7.5,7.3,FWD,Brentford,Ivan Toney,0
109,0,0.0,0.0,0,7,4.0,4.0,GK,Brentford,Hákon Valdimarsson,0
110,28,4.0,4.58,290,7,6.0,5.9,FWD,Brentford,Yoane Wissa,1
111,4,0.57,0.79,111,7,4.5,4.4,MID,Brentford,Yehor Yarmoliuk,1
112,0,0.0,0.0,0,7,4.5,4.5,DEF,Brentford,Mathias Jorgensen,0
113,14,2.0,2.24,134,7,5.5,5.5,MID,Brighton,Simon Adingra,0
114,0,0.0,0.0,0,7,4.5,4.5,MID,Brighton,Benicio Baker-Boaitey,0
115,21,3.0,4.08,421,7,5.0,5.0,MID,Brighton,Carlos Baleba,3
116,0,0.0,0.0,0,7,4.0,4.0,DEF,Brighton,Valentín Barco,0
117,28,4.0,3.87,369,7,5.0,5.0,MID,Leicester,Facundo Buonanotte,6
118,0,0.0,0.0,0,7,4.5,4.5,MID,Brighton,Amario Cozier-Duberry,0
119,0,0.0,0.0,0,7,5.0,4.9,MID,Brighton,Mahmoud Dahoud,0
120,16,2.29,2.75,615,7,4.5,4.5,DEF,Brighton,Lewis Dunk,6
121,5,0.71,0.49,75,7,5.5,5.4,MID,Brighton,Julio Enciso,1
122,2,0.29,0.76,234,7,5.0,5.0,DEF,Brighton,Pervis Estupiñán,1
123,3,0.43,0.53,22,7,5.5,5.5,FWD,Brighton,Evan Ferguson,1
124,3,0.43,0.79,97,7,5.0,5.0,MID,Brighton,Billy Gilmour,0
125,0,0.0,0.0,0,7,6.5,6.5,MID,Brighton,Pascal Groß,0
126,23,3.29,2.98,606,7,5.0,5.0,MID,Brighton,Jack Hinshelwood,2
127,0,0.0,0.0,0,7,5.0,5.0,MID,Brighton,Ibrahim Osman,0
128,1,0.14,0.38,114,7,4.5,4.4,DEF,Brighton,Igor Julio dos Santos de Paulo,6
129,19,2.71,3.68,280,7,5.5,5.5,FWD,Brighton,João Pedro Junqueira de Jesus,0
130,0,0.0,0.0,0,7,4.5,4.5,MID,Brighton,Kacper Kozłowski,0
131,0,0.0,0.0,0,7,4.5,4.5,DEF,Brighton,Tariq Lamptey,0
132,0,0.0,0.0,0,7,6.5,6.5,MID,Brighton,Solly March,0
133,0,0.0,0.0,0,7,4.5,4.5,MID,Brighton,Adrian Mazilu,0
134,5,0.71,0.95,169,7,5.0,5.0,MID,Brighton,James Milner,0
135,21,3.0,2.16,405,7,5.5,5.4,MID,Brighton,Yankuba Minteh,0
136,31,4.43,2.23,621,7,6.5,6.6,MID,Brighton,Mitoma Kaoru,1
137,0,0.0,0.0,0,7,4.5,4.4,MID,Brighton,Jakub Moder,0
138,0,0.0,0.0,0,7,4.5,4.5,FWD,Brighton,Mark O’Mahony,0
139,0,0.0,0.0,0,7,4.0,4.0,DEF,Brighton,Odeluga Offiah,0
140,0,0.0,0.0,0,7,4.5,4.5,MID,Brighton,Cameron Peupion,0
141,1,0.14,0.38,8,7,5.0,4.9,MID,Brighton,Jeremy Sarmiento Morante,0
142,9,1.29,2.63,180,7,4.5,4.4,GK,Brighton,Jason Steele,0
143,0,0.0,0.0,0,7,5.5,5.5,FWD,Brighton,Deniz Undav,0
144,19,2.71,2.63,450,7,4.5,4.5,DEF,Brighton,Jan Paul van Hecke,1
145,21,3.0,3.16,521,7,4.5,4.5,DEF,Brighton,Joël Veltman,7
146,10,1.43,2.15,450,7,4.5,4.5,GK,Brighton,Bart Verbruggen,10
147,1,0.14,0.69,78,7,4.5,4.4,DEF,Brighton,Adam Webster,0
148,41,5.86,4.02,596,7,5.5,5.8,FWD,Brighton,Danny Welbeck,9
149,9,1.29,2.14,190,7,5.0,4.9,MID,Brighton,Mats Wieffer,1
150,0,0.0,0.0,0,7,4.5,4.5,MID,Chelsea,Andrey Nascimento dos Santos,0
151,0,0.0,0.0,0,7,4.5,4.5,MID,Chelsea,Ângelo Gabriel Borges Damaceno,0
152,11,1.57,1.62,360,7,4.5,4.5,GK,Chelsea,Kepa Arrizabalaga,6
153,0,0.0,0.0,0,7,4.5,4.3,DEF,Chelsea,Benoît Badiashile,1
154,0,0.0,0.0,0,7,4.0,4.0,GK,Chelsea,Lucas Bergström,0
155,0,0.0,0.0,0,7,4.0,4.0,GK,Chelsea,Marcus Bettinelli,0
156,0,0.0,0.0,0,7,5.5,5.4,FWD,Chelsea,Armando Broja,0
157,17,2.43,1.72,615,7,5.0,4.9,MID,Chelsea,Moisés Caicedo Corozo,5
158,0,0.0,0.0,0,7,4.5,4.5,MID,Chelsea,Cesare Casadei,0
159,2,0.29,0.76,87,7,4.5,4.4,DEF,Chelsea,Trevoh Chalobah,2
160,0,0.0,0.0,0,7,5.0,4.8,DEF,Chelsea,Ben Chilwell,0
161,0,0.0,0.0,0,7,5.0,4.9,MID,Chelsea,Carney Chukwuemeka,0
162,18,2.57,2.44,630,7,4.5,4.5,DEF,Chelsea,Levi Colwill,1
163,15,2.14,2.12,590,7,5.0,5.0,DEF,Chelsea,Marc Cucurella Saseta,0
164,0,0.0,0.0,0,7,5.5,5.4,FWD,Chelsea,David Datro Fofana,0
165,0,0.0,0.0,0,7,5.0,5.0,FWD,Chelsea,Deivid Washington de Souza Eugênio,0
166,3,0.43,0.53,44,7,6.0,5.7,MID,Chelsea,Kiernan Dewsbury-Hall,0
167,7,1.0,2.24,94,7,4.5,4.4,DEF,Chelsea,Axel Disasi,0
168,12,1.71,0.95,511,7,5.0,4.9,MID,Chelsea,Enzo Fernández,1
169,0,0.0,0.0,0,7,6.0,5.9,MID,Chelsea,Conor Gallagher,0
170,0,0.0,0.0,0,7,4.0,4.0,DEF,Chelsea,Alfie Gilchrist,0
171,6,0.86,0.9,433,7,5.0,4.9,DEF,Chelsea,Malo Gusto,1
172,0,0.0,0.0,0,7,5.0,4.9,DEF,Chelsea,Reece James,0
173,0,0.0,0.0,0,7,4.5,4.4,MID,Chelsea,Omari Kellyman,0
174,3,0.43,0.79,76,7,4.5,4.5,MID,Chelsea,Roméo Lavia,1
175,0,0.0,0.0,0,7,6.5,6.3,FWD,Chelsea,Romelu Lukaku Bolingoli,0
176,0,0.0,0.0,0,7,4.5,4.5,DEF,Chelsea,Malang Sarr,0
177,43,6.14,6.87,476,7,6.5,6.5,MID,Chelsea,Noni Madueke,2
178,1,0.14,0.38,24,7,5.0,4.9,FWD,Chelsea,Marc Guiu Paz,0
179,4,0.57,0.53,81,7,6.5,6.2,MID,Chelsea,Mykhailo Mudryk,0
180,42,6.0,5.39,521,7,7.5,7.9,FWD,Chelsea,Nicolas Jackson,6
181,13,1.86,2.27,125,7,6.5,6.1,MID,Chelsea,Christopher Nkunku,1
182,67,9.57,8.38,595,7,10.5,10.7,MID,Chelsea,Cole Palmer,2
183,0,0.0,0.0,0,7,4.5,4.4,GK,Chelsea,Đorđe Petrović,0
184,5,0.71,0.76,127,7,4.5,4.5,MID,Chelsea,Renato Palma Veiga,0
185,36,5.14,5.3,630,7,4.5,4.7,GK,Chelsea,Robert Sánchez,2
186,3,0.43,0.53,85,7,7.0,6.7,MID,Chelsea,Raheem Sterling,1
187,8,1.14,2.19,119,7,4.5,4.4,DEF,Chelsea,Tosin Adarabioyo,-1
188,4,0.57,0.79,139,7,4.5,4.5,MID,Chelsea,Lesley Ugochukwu,0
189,11,1.57,2.44,596,7,4.5,4.5,DEF,Chelsea,Wesley Fofana,0
190,0,0.0,0.0,0,7,4.5,4.5,MID,Crystal Palace,Naouirou Ahamada,0
191,13,1.86,2.85,450,7,4.5,4.4,DEF,Crystal Palace,Joachim Andersen,-2
192,9,1.29,0.76,377,7,5.5,5.2,MID,Crystal Palace,Jordan Ayew,6
193,6,0.86,1.46,91,7,5.0,4.9,MID,Crystal Palace,Cheick Doucouré,0
194,9,1.29,2.21,343,7,4.5,4.4,DEF,Crystal Palace,Chris Richards,0
195,1,0.14,0.38,90,7,4.5,4.4,DEF,Crystal Palace,Chadi Riad Dnanou,0
196,9,1.29,2.21,226,7,4.5,4.4,DEF,Crystal Palace,Nathaniel Clyne,0
197,0,0.0,0.0,0,7,4.5,4.5,MID,Crystal Palace,Malcolm Ebiowei,0
198,6,0.86,0.69,139,7,5.5,5.4,FWD,Crystal Palace,Odsonne Edouard,0
199,23,3.29,2.98,630,7,7.0,6.8,MID,Crystal Palace,Eberechi Eze,2
200,21,3.0,3.27,630,7,4.5,4.4,DEF,Crystal Palace,Marc Guéhi,2
201,21,3.0,2.89,630,7,4.5,4.5,GK,Crystal Palace,Dean Henderson,3
202,0,0.0,0.0,0,7,4.5,4.4,DEF,Crystal Palace,Rob Holding,0
203,4,0.57,0.79,233,7,5.0,4.9,MID,Crystal Palace,Will Hughes,2
204,10,1.43,1.13,450,7,4.5,4.4,GK,Crystal Palace,Sam Johnstone,0
205,11,1.57,0.79,362,7,5.5,5.2,MID,Crystal Palace,Daichi Kamada,1
206,7,1.0,0.82,303,7,5.0,4.8,MID,Crystal Palace,Jefferson Lerma Solís,1
207,22,3.14,4.38,458,7,7.5,7.4,FWD,Crystal Palace,Jean-Philippe Mateta,1
208,0,0.0,0.0,0,7,4.5,4.4,MID,Crystal Palace,Matheus França de Oliveira,0
209,0,0.0,0.0,0,7,4.0,4.0,GK,Crystal Palace,Remi Matthews,0
210,16,2.29,1.98,597,7,5.0,4.9,DEF,Crystal Palace,Tyrick Mitchell,2
211,15,2.14,2.04,546,7,5.0,4.9,DEF,Crystal Palace,Daniel Muñoz,1
212,0,0.0,0.0,0,7,4.5,4.5,MID,Crystal Palace,David Ozoh,0
213,0,0.0,0.0,0,7,4.5,4.5,MID,Crystal Palace,Jesurun Rak-Sakyi,0
214,5,0.71,0.49,30,7,5.0,4.8,MID,Crystal Palace,Jeffrey Schlupp,1
215,0,0.0,0.0,0,7,4.5,4.4,DEF,Crystal Palace,Joel Ward,0
216,12,1.71,0.49,534,7,5.0,4.9,MID,Crystal Palace,Adam Wharton,0
217,11,1.57,0.98,395,7,5.5,5.2,MID,Everton,Abdoulaye Doucouré,3
218,4,0.57,0.53,43,7,5.0,5.0,FWD,Everton,Norberto Bercique Gomes Betuncal,0
