id,player_id_2025,first_name,second_name,web_name,team,team_name,element_type,position,now_cost,total_points_2024,games_played_2024,season
10001,1,David,Raya Martín,Raya,1,Arsenal,1,GK,5.5,142,38,2025
10002,2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,Arsenal,1,GK,4.5,106,38,2025
10003,3,Karl,Hein,Hein,1,Arsenal,1,GK,4.0,0,38,2025
10004,4,Tommy,Setford,Setford,1,Arsenal,1,GK,4.0,0,36,2025
10005,5,Gabriel,dos Santos Magalhães,Gabriel,1,Arsenal,2,DEF,6.0,117,38,2025
10006,6,William,Saliba,Saliba,1,Arsenal,2,DEF,6.0,130,38,2025
10007,7,Riccardo,Calafiori,Calafiori,1,Arsenal,2,DEF,5.5,39,38,2025
10008,8,Jurriën,Timber,J.Timber,1,Arsenal,2,DEF,5.5,114,38,2025
10009,9,Jakub,Kiwior,Kiwior,1,Arsenal,2,DEF,5.5,43,38,2025
10010,10,Myles,Lewis-Skelly,Lewis-Skelly,1,Arsenal,2,DEF,5.5,37,38,2025
10011,11,Benjamin,White,White,1,Arsenal,2,DEF,5.5,50,38,2025
10012,12,Oleksandr,Zinchenko,Zinchenko,1,Arsenal,2,DEF,5.0,40,38,2025
10013,13,Brayden,Clarke,Clarke,1,Arsenal,2,DEF,4.0,0,4,2025
10014,14,Maldini,Kacurri,Kacurri,1,Arsenal,2,DEF,4.0,0,35,2025
10015,15,Josh,Nichols,Nichols,1,Arsenal,2,DEF,4.0,0,33,2025
10016,16,Bukayo,Saka,Saka,1,Arsenal,3,MID,10.0,127,38,2025
10017,17,Martin,Ødegaard,Ødegaard,1,Arsenal,3,MID,8.0,116,38,2025
10018,18,Noni,Madueke,Madueke,1,Arsenal,3,MID,7.0,120,38,2025
10019,19,Gabriel,Martinelli Silva,Martinelli,1,Arsenal,3,MID,7.0,125,38,2025
10020,20,Leandro,Trossard,Trossard,1,Arsenal,3,MID,7.0,152,38,2025
10021,21,Declan,Rice,Rice,1,Arsenal,3,MID,6.5,127,38,2025
10022,22,Mikel,Merino Zazón,Merino,1,Arsenal,3,MID,6.0,92,36,2025
10023,23,Fábio,Ferreira Vieira,Fábio Vieira,1,Arsenal,3,MID,5.5,0,38,2025
10024,24,Christian,Nørgaard,Nørgaard,1,Arsenal,3,MID,5.5,107,38,2025
10025,25,Ethan,Nwaneri,Nwaneri,1,Arsenal,3,MID,5.5,66,38,2025
10026,26,Martín,Zubimendi Ibáñez,Zubimendi,1,Arsenal,3,MID,5.5,0,38,2025
10027,27,Reiss,Nelson,Nelson,1,Arsenal,3,MID,5.0,27,38,2025
10028,28,Ismeal,Kabia,Kabia,1,Arsenal,3,MID,4.5,0,35,2025
10029,29,Albert,Sambi Lokonga,Sambi,1,Arsenal,3,MID,4.5,66,38,2025
10030,30,Kai,Havertz,Havertz,1,Arsenal,4,FWD,7.5,97,38,2025
10031,31,Gabriel,Fernando de Jesus,G.Jesus,1,Arsenal,4,FWD,6.5,42,38,2025
10662,662,Cristhian,Mosquera,Mosquera,1,Arsenal,2,DEF,5.5,3,38,2025
10666,666,Viktor,Gyökeres,Gyökeres,1,Arsenal,4,FWD,9.0,0,0,2025
10032,32,Emiliano,Martínez Romero,Martinez,2,Aston Villa,1,GK,5.0,111,38,2025
10033,33,Marco,Bizot,M.Bizot,2,Aston Villa,1,GK,4.5,9,38,2025
10034,34,Joe,Gauci,Gauci,2,Aston Villa,1,GK,4.0,0,38,2025
10035,35,Filip,Marschall,Marschall,2,Aston Villa,1,GK,4.0,0,38,2025
10036,36,Matty,Cash,Cash,2,Aston Villa,2,DEF,4.5,76,38,2025
10037,37,Lucas,Digne,Digne,2,Aston Villa,2,DEF,4.5,89,38,2025
10038,38,Ezri,Konsa Ngoyo,Konsa,2,Aston Villa,2,DEF,4.5,103,38,2025
10039,39,Ian,Maatsen,Maatsen,2,Aston Villa,2,DEF,4.5,57,38,2025
10040,40,Tyrone,Mings,Mings,2,Aston Villa,2,DEF,4.5,47,38,2025
10041,41,Pau,Torres,Pau,2,Aston Villa,2,DEF,4.5,55,38,2025
10042,42,Andrés,García,A.García,2,Aston Villa,2,DEF,4.0,8,16,2025
10043,43,Álex,Moreno Lopera,Alex Moreno,2,Aston Villa,2,DEF,4.0,34,38,2025
10044,44,Lamare,Bogarde,Bogarde,2,Aston Villa,2,DEF,4.0,6,38,2025
10045,45,Lino,da Cruz Sousa,Sousa,2,Aston Villa,2,DEF,4.0,0,38,2025
10046,46,Yasin,Özcan,Yasin,2,Aston Villa,2,DEF,4.0,55,38,2025
10047,47,Morgan,Rogers,Rogers,2,Aston Villa,3,MID,7.0,161,38,2025
10048,48,Youri,Tielemans,Tielemans,2,Aston Villa,3,MID,6.0,121,38,2025
10049,49,Leon,Bailey,Bailey,2,Aston Villa,3,MID,5.5,47,38,2025
10050,50,Emiliano,Buendía Stati,Buendía,2,Aston Villa,3,MID,5.5,11,38,2025
10051,51,Samuel,Iling-Junior,Iling Jr,2,Aston Villa,3,MID,5.5,0,38,2025
10052,52,Jacob,Ramsey,J.Ramsey,2,Aston Villa,3,MID,5.5,66,38,2025
10053,53,Donyell,Malen,Malen,2,Aston Villa,3,MID,5.5,34,17,2025
10054,54,John,McGinn,McGinn,2,Aston Villa,3,MID,5.5,78,38,2025
10055,55,Ross,Barkley,Barkley,2,Aston Villa,3,MID,5.0,44,38,2025
10056,56,Enzo,Barrenechea,Barrenechea,2,Aston Villa,3,MID,5.0,0,38,2025
10057,57,Lewis,Dobbin,Dobbin,2,Aston Villa,3,MID,5.0,0,38,2025
10058,58,Boubacar,Kamara,Kamara,2,Aston Villa,3,MID,5.0,57,38,2025
10059,59,Amadou,Onana,Onana,2,Aston Villa,3,MID,5.0,65,38,2025
10060,60,Ben,Broggio,Broggio,2,Aston Villa,3,MID,4.5,0,27,2025
10061,61,Leander,Dendoncker,Dendoncker,2,Aston Villa,3,MID,4.5,0,38,2025
10062,62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,2,Aston Villa,3,MID,4.5,65,38,2025
10063,63,Kadan,Young,Young,2,Aston Villa,3,MID,4.5,0,35,2025
10064,64,Ollie,Watkins,Watkins,2,Aston Villa,4,FWD,9.0,186,38,2025
10065,65,Zépiqueno,Redmond,Redmond,2,Aston Villa,4,FWD,4.5,0,0,2025
10183,183,Max,Weiß,Weiss,3,Burnley,1,GK,4.5,63,38,2025
10184,184,Etienne,Green,Green,3,Burnley,1,GK,4.0,25,38,2025
10185,185,Václav,Hladký,Hladký,3,Burnley,1,GK,4.0,25,38,2025
10186,186,Connor,Roberts,Roberts,3,Burnley,2,DEF,4.5,34,38,2025
10187,187,Kyle,Walker,Walker,3,Burnley,2,DEF,4.5,13,38,2025
10188,188,Hannes,Delcroix,Delcroix,3,Burnley,2,DEF,4.0,70,38,2025
10189,189,Owen,Dodgson,Dodgson,3,Burnley,2,DEF,4.0,70,38,2025
10190,190,Hjalmar,Ekdal,Ekdal,3,Burnley,2,DEF,4.0,70,38,2025
10191,191,Maxime,Estève,Estève,3,Burnley,2,DEF,4.0,70,38,2025
10192,192,Quilindschy,Hartman,Hartman,3,Burnley,2,DEF,4.0,70,38,2025
10193,193,Bashir,Humphreys,Humphreys,3,Burnley,2,DEF,4.0,0,38,2025
10194,194,Jordan,Beyer,Jordan,3,Burnley,2,DEF,4.0,70,38,2025
10195,195,Lucas,Pires Silva,Lucas Pires,3,Burnley,2,DEF,4.0,70,38,2025
10196,196,Shurandy,Sambo,Sambo,3,Burnley,2,DEF,4.0,70,38,2025
10197,197,Oliver,Sonne,Sonne,3,Burnley,2,DEF,4.0,70,38,2025
10198,198,Axel,Tuanzebe,Tuanzebe,3,Burnley,2,DEF,4.0,27,38,2025
10199,199,Joe,Worrall,Worrall,3,Burnley,2,DEF,4.0,0,38,2025
10200,200,Jaidon,Anthony,Anthony,3,Burnley,3,MID,5.5,0,38,2025
10201,201,Manuel,Benson Hedilazio,Benson,3,Burnley,3,MID,5.5,48,38,2025
10202,202,Jacob,Bruun Larsen,Bruun Larsen,3,Burnley,3,MID,5.5,48,38,2025
10203,203,Enock,Agyei,Boateng,3,Burnley,3,MID,5.0,83,36,2025
10204,204,Darko,Churlinov,Churlinov,3,Burnley,3,MID,5.0,83,36,2025
10205,205,Josh,Cullen,Cullen,3,Burnley,3,MID,5.0,83,36,2025
10206,206,Marcus,Edwards,Edwards,3,Burnley,3,MID,5.0,1,38,2025
10207,207,Hannibal,Mejbri,Hannibal,3,Burnley,3,MID,5.0,0,38,2025
10208,208,Luca,Koleosho,Koleosho,3,Burnley,3,MID,5.0,83,36,2025
10209,209,Josh,Laurent,Laurent,3,Burnley,3,MID,5.0,83,36,2025
10210,210,Loum,Tchaouna,Tchaouna,3,Burnley,3,MID,5.0,83,36,2025
10211,211,Aaron,Ramsey,A.Ramsey,3,Burnley,3,MID,4.5,83,36,2025
10212,212,Oluwaseun,Adewumi,Adewumi,3,Burnley,3,MID,4.5,83,36,2025
10213,213,Jaydon,Banel,Banel,3,Burnley,3,MID,4.5,83,36,2025
10214,214,Mike,Trésor Ndayishimiye,Trésor,3,Burnley,3,MID,4.5,83,36,2025
10215,215,Zian,Flemming,Flemming,3,Burnley,4,FWD,5.5,128,38,2025
10216,216,Zeki,Amdouni,Amdouni,3,Burnley,4,FWD,5.0,34,38,2025
10217,217,Lyle,Foster,Foster,3,Burnley,4,FWD,5.0,34,38,2025
10218,218,Ashley,Barnes,Barnes,3,Burnley,4,FWD,4.5,130,38,2025
10219,219,Michael,Obafemi,Obafemi,3,Burnley,4,FWD,4.5,34,38,2025
10066,66,Norberto,Murara Neto,Neto,4,Bournemouth,1,GK,4.5,7,38,2025
10067,67,Đorđe,Petrović,Petrović,4,Bournemouth,1,GK,4.5,0,38,2025
10068,68,Will,Dennis,Dennis,4,Bournemouth,1,GK,4.0,0,38,2025
10069,69,Callan,McKenna,McKenna,4,Bournemouth,1,GK,4.0,0,17,2025
10070,70,Alex,Paulsen,Paulsen,4,Bournemouth,1,GK,4.0,0,38,2025
10071,71,Illia,Zabarnyi,Zabarnyi,4,Bournemouth,2,DEF,5.0,94,38,2025
10072,72,Marcos,Senesi Barón,Senesi,4,Bournemouth,2,DEF,4.5,31,38,2025
10073,73,Adam,Smith,Smith,4,Bournemouth,2,DEF,4.5,57,38,2025
10074,74,Adrien,Truffert,Truffert,4,Bournemouth,2,DEF,4.5,104,38,2025
10075,75,Matai,Akinmboni,Akinmboni,4,Bournemouth,2,DEF,4.0,0,18,2025
10076,76,Owen,Bevan,Bevan,4,Bournemouth,2,DEF,4.0,17,38,2025
10077,77,James,Hill,Hill,4,Bournemouth,2,DEF,4.0,17,38,2025
10078,78,Julián,Araujo Zúñiga,J.Araujo,4,Bournemouth,2,DEF,4.0,12,38,2025
10079,79,Chris,Mepham,Mepham,4,Bournemouth,2,DEF,4.0,0,38,2025
10080,80,Julio,Soler Barreto,Soler,4,Bournemouth,2,DEF,4.0,3,18,2025
10081,81,Justin,Kluivert,Kluivert,4,Bournemouth,3,MID,7.0,158,38,2025
10082,82,Antoine,Semenyo,Semenyo,4,Bournemouth,3,MID,7.0,165,38,2025
10083,83,Dango,Ouattara,O.Dango,4,Bournemouth,3,MID,6.0,111,38,2025
10084,84,Marcus,Tavernier,Tavernier,4,Bournemouth,3,MID,5.5,87,38,2025
10085,85,Tyler,Adams,Adams,4,Bournemouth,3,MID,5.0,58,38,2025
10086,86,David,Brooks,Brooks,4,Bournemouth,3,MID,5.0,52,38,2025
10087,87,Ryan,Christie,Christie,4,Bournemouth,3,MID,5.0,76,38,2025
10088,88,Lewis,Cook,Cook,4,Bournemouth,3,MID,5.0,82,38,2025
10089,89,Philip,Billing,Philip,4,Bournemouth,3,MID,5.0,10,38,2025
10090,90,Alex,Scott,Scott,4,Bournemouth,3,MID,5.0,26,38,2025
10091,91,Luis,Sinisterra Lucumí,Sinisterra,4,Bournemouth,3,MID,5.0,23,38,2025
10092,92,Romain,Faivre,Faivre,4,Bournemouth,3,MID,4.5,0,38,2025
10093,93,Hamed,Traorè,H.Traorè,4,Bournemouth,3,MID,4.5,0,38,2025
10094,94,Dominic,Sadi,Sadi,4,Bournemouth,3,MID,4.5,0,18,2025
10095,95,Zain,Silcott-Duberry,Silcott-Duberry,4,Bournemouth,3,MID,4.5,1,17,2025
10096,96,Ben,Winterburn,Winterburn,4,Bournemouth,3,MID,4.5,4,26,2025
10097,97,Francisco Evanilson,de Lima Barbosa,Evanilson,4,Bournemouth,4,FWD,7.0,128,37,2025
10098,98,Enes,Ünal,Enes Ünal,4,Bournemouth,4,FWD,5.5,32,38,2025
10099,99,Daniel,Adu-Adjei,Adu-Adjei,4,Bournemouth,4,FWD,4.5,0,18,2025
10100,100,Eli Junior,Kroupi,Kroupi.Jr,4,Bournemouth,4,FWD,4.5,20,38,2025
10101,101,Caoimhín,Kelleher,Kelleher,5,Brentford,1,GK,4.5,45,38,2025
10102,102,Ellery,Balcombe,Balcombe,5,Brentford,1,GK,4.0,2,38,2025
10103,103,Matthew,Cox,Cox,5,Brentford,1,GK,4.0,2,38,2025
10104,104,Julian,Eyestone,Eyestone,5,Brentford,1,GK,4.0,0,15,2025
10105,105,Hákon Rafn,Valdimarsson,Valdimarsson,5,Brentford,1,GK,4.0,2,38,2025
10106,106,Nathan,Collins,Collins,5,Brentford,2,DEF,5.0,127,38,2025
10107,107,Keane,Lewis-Potter,Lewis-Potter,5,Brentford,2,DEF,5.0,94,38,2025
10108,108,Kristoffer,Ajer,Ajer,5,Brentford,2,DEF,4.5,39,38,2025
10109,109,Rico,Henry,Henry,5,Brentford,2,DEF,4.5,4,38,2025
10110,110,Michael,Kayode,Kayode,5,Brentford,2,DEF,4.5,27,15,2025
10111,111,Ethan,Pinnock,Pinnock,5,Brentford,2,DEF,4.5,47,38,2025
10112,112,Mads,Roerslev Rasmussen,Roerslev,5,Brentford,2,DEF,4.5,36,38,2025
10113,113,Sepp,van den Berg,Van den Berg,5,Brentford,2,DEF,4.5,62,38,2025
10114,114,Benjamin,Arthur,Arthur,5,Brentford,2,DEF,4.0,0,21,2025
10115,115,Benjamin,Fredrick,Fredrick,5,Brentford,2,DEF,4.0,0,11,2025
10116,116,Aaron,Hickey,Hickey,5,Brentford,2,DEF,4.0,0,38,2025
10117,117,Kim,Ji-soo,Ji-soo,5,Brentford,2,DEF,4.0,3,38,2025
10118,118,Jayden,Meghoma,Meghoma,5,Brentford,2,DEF,4.0,1,35,2025
10120,120,Kevin,Schade,Schade,5,Brentford,3,MID,7.0,149,38,2025
10121,121,Mikkel,Damsgaard,Damsgaard,5,Brentford,3,MID,6.0,131,38,2025
10122,122,Antoni,Milambo,Milambo,5,Brentford,3,MID,5.5,149,38,2025
10123,123,Fábio,Freitas Gouveia Carvalho,Carvalho,5,Brentford,3,MID,5.0,35,38,2025
10124,124,Jordan,Henderson,Henderson,5,Brentford,3,MID,5.0,135,38,2025
10125,125,Vitaly,Janelt,Janelt,5,Brentford,3,MID,5.0,73,38,2025
10126,126,Mathias,Jensen,Jensen,5,Brentford,3,MID,5.0,38,38,2025
10127,127,Gustavo,Nunes Fernandes Gomes,Nunes,5,Brentford,3,MID,5.0,3,36,2025
10128,128,Frank,Onyeka,Onyeka,5,Brentford,3,MID,5.0,2,38,2025
10129,129,Yehor,Yarmoliuk,Yarmoliuk,5,Brentford,3,MID,5.0,43,38,2025
10130,130,Romelle,Donovan,Donovan,5,Brentford,3,MID,4.5,107,38,2025
10131,131,Yunus Emre,Konak,Konak,5,Brentford,3,MID,4.5,10,38,2025
10132,132,Paris,Maghoma,Maghoma,5,Brentford,3,MID,4.5,8,29,2025
10133,133,Myles,Peart-Harris,Peart-Harris,5,Brentford,3,MID,4.5,0,38,2025
10134,134,Ryan,Trevitt,Trevitt,5,Brentford,3,MID,4.5,1,38,2025
10135,135,Yoane,Wissa,Wissa,5,Brentford,4,FWD,7.5,185,38,2025
10136,136,Igor Thiago,Nascimento Rodrigues,Thiago,5,Brentford,4,FWD,6.0,9,38,2025
10137,137,Iwan,Morgan,Morgan,5,Brentford,4,FWD,4.5,0,13,2025
10138,138,Jason,Steele,Steele,6,Brighton,1,GK,4.5,9,38,2025
10139,139,Bart,Verbruggen,Verbruggen,6,Brighton,1,GK,4.5,103,38,2025
10140,140,Tom,McGill,McGill,6,Brighton,1,GK,4.0,9,38,2025
10141,141,Carl,Rushworth,Rushworth,6,Brighton,1,GK,4.0,0,38,2025
10142,142,Kjell,Scherpen,Scherpen,6,Brighton,1,GK,4.0,9,38,2025
10143,143,Olivier,Boscagli,Boscagli,6,Brighton,2,DEF,4.5,87,38,2025
10144,144,Diego,Coppola,Coppola,6,Brighton,2,DEF,4.5,87,38,2025
10145,145,Maxim,De Cuyper,De Cuyper,6,Brighton,2,DEF,4.5,87,38,2025
10146,146,Lewis,Dunk,Dunk,6,Brighton,2,DEF,4.5,44,38,2025
10147,147,Pervis,Estupiñán Tenorio,Estupiñan,6,Brighton,2,DEF,4.5,63,38,2025
10148,148,Ferdi,Kadıoğlu,F.Kadıoğlu,6,Brighton,2,DEF,4.5,19,36,2025
10149,149,Igor Julio,dos Santos de Paulo,Igor,6,Brighton,2,DEF,4.5,18,38,2025
10150,150,Tariq,Lamptey,Lamptey,6,Brighton,2,DEF,4.5,42,38,2025
10151,151,Jan Paul,van Hecke,Van Hecke,6,Brighton,2,DEF,4.5,87,38,2025
10152,152,Joël,Veltman,Veltman,6,Brighton,2,DEF,4.5,59,38,2025
10153,153,Adam,Webster,Webster,6,Brighton,2,DEF,4.5,39,38,2025
10154,154,Eiran,Cashin,Cashin,6,Brighton,2,DEF,4.0,1,14,2025
10155,155,Jacob,Slater,Slater,6,Brighton,2,DEF,4.0,0,26,2025
10156,156,Charlie,Tasker,Tasker,6,Brighton,2,DEF,4.0,0,9,2025
10157,157,Mitoma,Kaoru,Mitoma,6,Brighton,3,MID,6.5,145,38,2025
10158,158,Georginio,Rutter,Georginio,6,Brighton,3,MID,6.0,95,37,2025
10159,159,Solly,March,March,6,Brighton,3,MID,6.0,7,38,2025
10160,160,Yankuba,Minteh,Minteh,6,Brighton,3,MID,6.0,102,38,2025
10161,161,Julio,Enciso Espínola,Enciso,6,Brighton,3,MID,5.5,59,38,2025
10162,162,Brajan,Gruda,Gruda,6,Brighton,3,MID,5.5,45,38,2025
10163,163,Jack,Hinshelwood,Hinshelwood,6,Brighton,3,MID,5.5,89,38,2025
10164,164,Matt,O'Riley,O'Riley,6,Brighton,3,MID,5.5,50,36,2025
10165,165,Abdallah,Sima,Sima,6,Brighton,3,MID,5.5,50,36,2025
10166,166,Yasin,Ayari,Ayari,6,Brighton,3,MID,5.0,74,38,2025
10167,167,Carlos,Baleba,Baleba,6,Brighton,3,MID,5.0,87,38,2025
10168,168,Facundo,Buonanotte,Buonanotte,6,Brighton,3,MID,5.0,75,38,2025
10169,169,Diego,Gómez Amarilla,Gomez,6,Brighton,3,MID,5.0,14,38,2025
10170,170,James,Milner,Milner,6,Brighton,3,MID,5.0,6,38,2025
10171,171,Jeremy,Sarmiento Morante,Sarmiento,6,Brighton,3,MID,5.0,1,38,2025
10172,172,Tom,Watson,Watson,6,Brighton,3,MID,5.0,102,38,2025
10173,173,Mats,Wieffer,Wieffer,6,Brighton,3,MID,5.0,52,38,2025
10174,174,Malick,Yalcouyé,Yalcouye,6,Brighton,3,MID,5.0,102,38,2025
10175,175,Joe,Knight,Knight,6,Brighton,3,MID,4.5,0,15,2025
10176,176,Adrian,Mazilu,Mazilu,6,Brighton,3,MID,4.5,0,38,2025
10177,177,Andrew,Moran,Moran,6,Brighton,3,MID,4.5,0,38,2025
10178,178,Danny,Welbeck,Welbeck,6,Brighton,4,FWD,6.5,125,38,2025
10179,179,Evan,Ferguson,Ferguson,6,Brighton,4,FWD,5.5,27,38,2025
10180,180,Stefanos,Tzimas,Tzimas,6,Brighton,4,FWD,5.5,126,38,2025
10181,181,Charalampos,Kostoulas,Kostoulas,6,Brighton,4,FWD,5.0,126,38,2025
10220,220,Robert,Lynch Sánchez,Sánchez,7,Chelsea,1,GK,5.0,126,38,2025
10221,221,Filip,Jörgensen,Jörgensen,7,Chelsea,1,GK,4.5,126,38,2025
10222,222,Mike,Penders,Penders,7,Chelsea,1,GK,4.0,18,38,2025
10223,223,Gabriel,Słonina,Slonina,7,Chelsea,1,GK,4.0,18,38,2025
